"","ServiceDate","Agency","Branch / Line","OTP","MajorIncidents","4mTo6mTrainDelays"
"1",2022-01-01,"MNR","System Total",0.981,7,0.022097728
"2",2021-12-01,"MNR","System Total",0.977,8,0.029804913
"3",2021-11-01,"MNR","System Total",0.948,12,0.052431895
"4",2021-10-01,"MNR","System Total",0.966,10,0.040908272
"5",2021-09-01,"MNR","System Total",0.947,23,0.057761245
"6",2021-08-01,"MNR","System Total",0.983,2,0.021764449
"7",2021-07-01,"MNR","System Total",0.966,7,0.028349945
"8",2021-06-01,"MNR","System Total",0.971,8,0.029969419
"9",2021-05-01,"MNR","System Total",0.98,2,0.025011651
"10",2021-04-01,"MNR","System Total",0.976,1,0.025750395
"11",2021-03-01,"MNR","System Total",0.986,2,0.016980693
"12",2021-02-01,"MNR","System Total",0.979,4,0.020706346
"13",2021-01-01,"MNR","System Total",0.982,4,0.018841762
"14",2020-12-01,"MNR","System Total",0.978,4,0.021733976
"15",2020-11-01,"MNR","System Total",0.97,6,0.023859181
"16",2020-10-01,"MNR","System Total",0.982,1,0.016732129
"17",2020-09-01,"MNR","System Total",0.985,3,0.012182332
"18",2020-08-01,"MNR","System Total",0.956,21,0.02212752
"19",2020-07-01,"MNR","System Total",0.983,3,0.018817834
"20",2020-06-01,"MNR","System Total",0.981,2,0.014930679
"21",2020-05-01,"MNR","System Total",0.991,0,0.00660132
"22",2020-04-01,"MNR","System Total",0.986,3,0.005908138
"23",2020-03-01,"MNR","System Total",0.985,6,0.032103678
"24",2020-02-01,"MNR","System Total",0.973,12,0.04573851
"25",2020-01-01,"MNR","System Total",0.974,10,0.041845994
